11 Body Systems,
System,Job
Circulatory,"Moves blood around your body to transport oxygen, carbon dioxide, food, and waste."
Digestive,Gets the important parts of food into small pieces and into your body.
Endocrine,Makes hormones that control your body.
Excretory,Gets rid of waste.
Integumentory,Skin. It covers your insides and keeps bad stuff out.
Immune,Keeps you healthy. Fights disease.
Muscular,Moves your body.
Nervous,Lets the brain sense and do things.
Reproductive,Makes babies.
Respiratory,Brings oxygen into your blood and sends carbon dioxide out.
Skeletal,"Gives us a shape, lets us move, protects our insides."
