Circulatory muscular and skeletal systems,
Body Part,Job
Heart,Pumps blood around your body
Artery,Carries blood away from the heart
Vein,Carries blood toward the heart
Capillary,Takes blood to every cell in your body
Skeletal muscle,The kind of muscle we can control
Cardiac muscle,The kind of muscle in the heart
Smooth muscle,The kind of muscle in the intestines
Bones,Protects our insides and gives us shape
Long bone,Bone that is longer than it is wide
Short bone,Bone that is roughly like a cube
Sesamoid bone,Bone shaped like sesame seed
Flat bone,Bone that is thin and wide
Hinge joint,Joint that moves in one direction
Ball and socket joint,Joint that moves in many directions
